Unnamed: 0,brand_powertrain,attention_score
远程开启／关闭车窗,吉利汽车 纯电动,6.468
30%SOC～80%SOC,吉利汽车 纯电动,7.083
夏季城市纯电续航,吉利汽车 纯电动,6.677
车辆追踪／报警,吉利汽车 纯电动,6.391
安全带主动预紧,吉利汽车 纯电动,6.595
超充兼容性,吉利汽车 纯电动,6.884
防尘,吉利汽车 纯电动,6.465
无钥匙进入／启动,吉利汽车 纯电动,6.787
仅限用物质,吉利汽车 纯电动,6.435
主动安全车道保持,吉利汽车 纯电动,6.593
防水,吉利汽车 纯电动,6.465
一键寻车,吉利汽车 纯电动,6.431
防晒,吉利汽车 纯电动,6.463
音响声音分区,吉利汽车 纯电动,6.282
正碰时车身强度,吉利汽车 纯电动,6.653
侧碰时车身强度,吉利汽车 纯电动,6.655
追尾时车身强度,吉利汽车 纯电动,6.641
偏置碰时车身强度,吉利汽车 纯电动,6.648
车机屏幕数量,吉利汽车 纯电动,6.566
座椅位置调节,吉利汽车 纯电动,6.745
车距调节,吉利汽车 纯电动,6.45
并线辅助,吉利汽车 纯电动,6.391
座椅靠背厚度,吉利汽车 纯电动,6.791
悬架软硬度,吉利汽车 纯电动,6.484
电耗NEDC,吉利汽车 纯电动,6.381
开门预警,吉利汽车 纯电动,6.513
自动落锁,吉利汽车 纯电动,6.591
摄像头,吉利汽车 纯电动,6.587
座椅按摩,吉利汽车 纯电动,5.928
碰撞后自动拨打120,吉利汽车 纯电动,6.527
车内视野,吉利汽车 纯电动,6.781
高精地图,吉利汽车 纯电动,6.526
热成型钢强度,吉利汽车 纯电动,6.645
碰撞解锁,吉利汽车 纯电动,6.578
碰撞前车身姿态调整,吉利汽车 纯电动,6.166
空调风量,吉利汽车 纯电动,6.749
灯光,吉利汽车 纯电动,7.04
抬头显示,吉利汽车 纯电动,6.026
夜视系统,吉利汽车 纯电动,5.876
车内夜间效果,吉利汽车 纯电动,6.32
儿童误触碰,吉利汽车 纯电动,6.252
车漆质感,吉利汽车 纯电动,6.784
涉水深度,吉利汽车 纯电动,6.252
夜间行人监测,吉利汽车 纯电动,5.968
内饰异响,吉利汽车 纯电动,5.922
SOS紧急呼叫,吉利汽车 纯电动,6.554
轮胎附着力,吉利汽车 纯电动,6.553
坐垫柔软程度,吉利汽车 纯电动,6.83
内饰接缝与拼接,吉利汽车 纯电动,6.632
隔振,吉利汽车 纯电动,6.475
空调出风口设计,吉利汽车 纯电动,6.678
CarPlay,吉利汽车 纯电动,6.422
自动空调,吉利汽车 纯电动,6.901
车载KTV,吉利汽车 纯电动,5.769
悬架形式,吉利汽车 纯电动,6.742
高清大屏,吉利汽车 纯电动,7.149
空调风感,吉利汽车 纯电动,6.607
毫米波雷达,吉利汽车 纯电动,6.142
方向盘功能,吉利汽车 纯电动,6.764
空调噪音,吉利汽车 纯电动,6.343
记忆泊车,吉利汽车 纯电动,5.894
哨兵模式,吉利汽车 纯电动,6.056
手势控制,吉利汽车 纯电动,5.753
方向盘虚位,吉利汽车 纯电动,6.411
侧面外观,吉利汽车 纯电动,7.239
激光雷达,吉利汽车 纯电动,5.759
0%SOC～100%SOC,吉利汽车 纯电动,6.556
座椅头枕,吉利汽车 纯电动,6.691
馈电状态短时最高车速,吉利汽车 纯电动,6.287
车载游戏,吉利汽车 纯电动,5.787
座椅腰部支撑,吉利汽车 纯电动,6.587
360影像,吉利汽车 纯电动,6.732
座椅周边储物空间,吉利汽车 纯电动,6.635
转弯半径,吉利汽车 纯电动,6.719
轴距,吉利汽车 纯电动,6.994
方向盘加热,吉利汽车 纯电动,5.871
NOA,吉利汽车 纯电动,5.965
无图自动驾驶,吉利汽车 纯电动,5.743
负离子发生器,吉利汽车 纯电动,6.277
座椅折叠后空间,吉利汽车 纯电动,6.931
双层玻璃,吉利汽车 纯电动,6.248
OTA,吉利汽车 纯电动,6.622
车门板储物空间,吉利汽车 纯电动,6.802
座椅打孔,吉利汽车 纯电动,6.274
冬季高速纯电续航,吉利汽车 纯电动,5.977
手部放置空间,吉利汽车 纯电动,6.765
座椅腿托,吉利汽车 纯电动,5.933
仪表盘,吉利汽车 纯电动,6.709
馈电状态可持续最高车速,吉利汽车 纯电动,6.285
香氛,吉利汽车 纯电动,5.896
满电状态短时最高车速,吉利汽车 纯电动,6.777
保值率,吉利汽车 纯电动,6.107
前备箱空间,吉利汽车 纯电动,6.709
车顶线条,吉利汽车 纯电动,6.899
座椅联动,吉利汽车 纯电动,5.897
三排进出便利性,吉利汽车 纯电动,6.101
维修便利性,吉利汽车 纯电动,6.396
无线充电,吉利汽车 纯电动,5.95
扶手箱空间,吉利汽车 纯电动,6.816
夏季高速纯电续航,吉利汽车 纯电动,6.524
满电状态可持续最高车速,吉利汽车 纯电动,6.775
空调分区,吉利汽车 纯电动,6.618
后轮转向,吉利汽车 纯电动,5.68
车窗外观,吉利汽车 纯电动,6.565
主动降噪,吉利汽车 纯电动,6.167
轮毂外观,吉利汽车 纯电动,6.67
灭菌,吉利汽车 纯电动,6.118
滤芯更换提醒,吉利汽车 纯电动,6.141
中控面板功能,吉利汽车 纯电动,6.924
质保时间,吉利汽车 纯电动,6.594
手套箱空间,吉利汽车 纯电动,6.646
保养周期,吉利汽车 纯电动,6.473
靠背加热,吉利汽车 纯电动,6.159
主驾操作区功能,吉利汽车 纯电动,6.823
车门大小,吉利汽车 纯电动,6.374
靠背通风,吉利汽车 纯电动,5.995
充电接口,吉利汽车 纯电动,6.391
座椅头枕音箱,吉利汽车 纯电动,5.76
车门开度,吉利汽车 纯电动,6.332
离地间隙,吉利汽车 纯电动,6.356
接近角,吉利汽车 纯电动,6.237
离去角,吉利汽车 纯电动,6.237
转向回正力,吉利汽车 纯电动,6.472
开关门质感,吉利汽车 纯电动,6.094
可变转向比,吉利汽车 纯电动,5.949
悬架高度,吉利汽车 纯电动,6.267
小桌板,吉利汽车 纯电动,5.704
自动驻车,吉利汽车 纯电动,6.683
天窗,吉利汽车 纯电动,6.399
制动热衰退,吉利汽车 纯电动,6.344
方向盘周边储物空间,吉利汽车 纯电动,6.257
儿童座椅适配,吉利汽车 纯电动,6.188
遮阳帘功能,吉利汽车 纯电动,5.974
后视镜视野,吉利汽车 纯电动,6.662
零重力座椅,吉利汽车 纯电动,5.849
副驾交互区功能,吉利汽车 纯电动,6.273
大床模式空间,吉利汽车 纯电动,5.919
转向座椅肋部支撑,吉利汽车 纯电动,5.753
座椅老板键,吉利汽车 纯电动,5.755
齿轮啸叫,吉利汽车 纯电动,5.9
麋鹿测试,吉利汽车 纯电动,6.429
车顶扶手,吉利汽车 纯电动,5.795
前方视野,吉利汽车 纯电动,6.885
电吸门便利性,吉利汽车 纯电动,5.831
易损件寿命,吉利汽车 纯电动,6.352
敲齿,吉利汽车 纯电动,5.893
吭音,吉利汽车 纯电动,5.893
门把手便利性,吉利汽车 纯电动,6.343
冷暖冰箱,吉利汽车 纯电动,5.708
脚部放置空间,吉利汽车 纯电动,7.012
女王座椅,吉利汽车 纯电动,5.762
爬陡坡性能,吉利汽车 纯电动,6.562
三把锁,吉利汽车 纯电动,5.699
制动辅助ABS/ESP/EPB,吉利汽车 纯电动,6.873
高热工况性能,吉利汽车 纯电动,6.497
高寒工况性能,吉利汽车 纯电动,6.334
侧面视野,吉利汽车 纯电动,6.779
隐私玻璃,吉利汽车 纯电动,6.286
防晒车顶玻璃,吉利汽车 纯电动,6.243
满/超载工况性能,吉利汽车 纯电动,6.442
遮阳帘视野,吉利汽车 纯电动,6.103
雨刮器视野,吉利汽车 纯电动,6.267
门板功能,吉利汽车 纯电动,6.21
高海拔工况性能,吉利汽车 纯电动,6.334
过道宽度,吉利汽车 纯电动,6.523
实用小配置,吉利汽车 纯电动,6.687
制动点头,吉利汽车 纯电动,6.302
除雾功能,吉利汽车 纯电动,6.608
除霜功能,吉利汽车 纯电动,6.609
遮阳板,吉利汽车 纯电动,6.372
爬长坡性能,吉利汽车 纯电动,6.548
立柱扶手,吉利汽车 纯电动,5.785
减速玻璃,吉利汽车 纯电动,6.401
轮胎外观,吉利汽车 纯电动,6.218
松油门阻止感,吉利汽车 纯电动,6.269
二三排控制区功能,吉利汽车 纯电动,6.007
空气弹簧,吉利汽车 纯电动,5.755
个性化元素,吉利汽车 纯电动,6.862
主动阻尼悬挂,吉利汽车 纯电动,5.787
陡坡缓降,吉利汽车 纯电动,6.169
后视镜外观,吉利汽车 纯电动,6.273
接缝大小及均匀性,吉利汽车 纯电动,6.527
门把手外观,吉利汽车 纯电动,6.448
卡钳外观,吉利汽车 纯电动,6.081
雨刮器外观,吉利汽车 纯电动,5.709
性价比,埃安 纯电动,7.547
外观风格,埃安 纯电动,7.56
内饰风格,埃安 纯电动,6.998
零百加速,埃安 纯电动,7.18
腿部空间,埃安 纯电动,7.536
后备箱及周边空间,埃安 纯电动,6.953
动力模式切换平顺性,埃安 纯电动,6.915
头部空间,埃安 纯电动,7.421
日常实际使用电耗,埃安 纯电动,6.588
悬架滤振,埃安 纯电动,6.517
油门响应,埃安 纯电动,7.184
座椅材质,埃安 纯电动,6.927
转向精准度,埃安 纯电动,7.088
内饰材料及环保,埃安 纯电动,6.518
加速平顺性,埃安 纯电动,7.343
前脸外观,埃安 纯电动,7.467
隔音,埃安 纯电动,6.526
车尾外观,埃安 纯电动,7.007
车机系统可靠性,埃安 纯电动,6.412
车内布局,埃安 纯电动,6.958
色彩搭配,埃安 纯电动,6.796
中控屏功能,埃安 纯电动,7.095
方向盘轻重调节,埃安 纯电动,6.838
整车色彩,埃安 纯电动,6.876
高速再加速性能,埃安 纯电动,6.867
电耗WLTC,埃安 纯电动,6.424
语音控制,埃安 纯电动,6.776
换挡平顺性,埃安 纯电动,6.883
车身比例,埃安 纯电动,6.888
风噪,埃安 纯电动,6.14
最长续航里程,埃安 纯电动,7.04
智能交互,埃安 纯电动,6.932
质感、做工,埃安 纯电动,6.855
动力系统可靠／耐久,埃安 纯电动,6.742
空调制冷速度,埃安 纯电动,6.991
NVH异响,埃安 纯电动,6.158
座椅宽度,埃安 纯电动,7.006
电耗CLTC,埃安 纯电动,6.379
路噪,埃安 纯电动,6.126
异味,埃安 纯电动,5.512
储物,埃安 纯电动,6.906
车机屏幕分辨率,埃安 纯电动,6.924
辅助驾驶车道保持,埃安 纯电动,6.693
自适应巡航,埃安 纯电动,6.695
空调制热速度,埃安 纯电动,6.862
座椅加热,埃安 纯电动,6.808
响应速度,埃安 纯电动,6.77
座椅调节便利性,埃安 纯电动,6.941
坐垫厚度,埃安 纯电动,7.009
自动泊车,埃安 纯电动,6.599
氛围灯,埃安 纯电动,6.276
发动机噪音,埃安 纯电动,6.354
自动紧急制动,埃安 纯电动,6.756
座椅通风,埃安 纯电动,6.577
空调与通风,埃安 纯电动,6.834
桌面APP,埃安 纯电动,6.489
气囊,埃安 纯电动,6.754
安全带,埃安 纯电动,6.742
底盘系统可靠／耐久,埃安 纯电动,6.688
车身系统可靠／耐久,埃安 纯电动,6.735
车道偏离预警,埃安 纯电动,6.719
制动距离,埃安 纯电动,6.786
前碰撞预警,埃安 纯电动,6.715
厂家口碑,埃安 纯电动,6.81
车身刚度,埃安 纯电动,6.789
事故车门自动解锁,埃安 纯电动,6.705
屏幕尺寸,埃安 纯电动,6.95
桌面布局,埃安 纯电动,6.596
交互便利性,埃安 纯电动,6.78
远程启动／关闭空调,埃安 纯电动,6.683
事故车窗自动下降,埃安 纯电动,6.592
盲区检测,埃安 纯电动,6.685
气帘,埃安 纯电动,6.747
儿童安全锁,埃安 纯电动,6.639
事故自动下电,埃安 纯电动,6.701
电池回收,埃安 纯电动,6.534
冬季城市纯电续航,埃安 纯电动,6.034
远程解锁／上锁,埃安 纯电动,6.689
排放,埃安 纯电动,7.024
PM2.5过滤,埃安 纯电动,6.875
耐腐蚀性,埃安 纯电动,6.61
应急照明,埃安 纯电动,6.612
车门防夹,埃安 纯电动,6.7
碳足迹,埃安 纯电动,6.66
过弯侧倾抑制,埃安 纯电动,6.615
座椅臀部支撑程度,埃安 纯电动,7.007
远程车辆状态查看,埃安 纯电动,6.607
座椅靠背角度调节,埃安 纯电动,6.963
传感器可靠性,埃安 纯电动,6.533
车机芯片算力,埃安 纯电动,6.645
座椅调整防夹,埃安 纯电动,6.628
三脚架,埃安 纯电动,6.428
耐热,埃安 纯电动,6.548
耐寒,埃安 纯电动,6.51
远程开启／关闭车窗,埃安 纯电动,6.548
30%SOC～80%SOC,埃安 纯电动,6.87
夏季城市纯电续航,埃安 纯电动,6.721
车辆追踪／报警,埃安 纯电动,6.514
安全带主动预紧,埃安 纯电动,6.697
超充兼容性,埃安 纯电动,6.667
防尘,埃安 纯电动,6.554
无钥匙进入／启动,埃安 纯电动,6.895
仅限用物质,埃安 纯电动,6.589
主动安全车道保持,埃安 纯电动,6.728
防水,埃安 纯电动,6.553
一键寻车,埃安 纯电动,6.498
防晒,埃安 纯电动,6.553
音响声音分区,埃安 纯电动,6.397
正碰时车身强度,埃安 纯电动,6.772
侧碰时车身强度,埃安 纯电动,6.77
追尾时车身强度,埃安 纯电动,6.763
偏置碰时车身强度,埃安 纯电动,6.766
车机屏幕数量,埃安 纯电动,6.524
座椅位置调节,埃安 纯电动,6.973
车距调节,埃安 纯电动,6.643
并线辅助,埃安 纯电动,6.576
座椅靠背厚度,埃安 纯电动,6.959
悬架软硬度,埃安 纯电动,6.366
电耗NEDC,埃安 纯电动,6.372
开门预警,埃安 纯电动,6.622
自动落锁,埃安 纯电动,6.69
摄像头,埃安 纯电动,6.645
座椅按摩,埃安 纯电动,6.027
碰撞后自动拨打120,埃安 纯电动,6.602
车内视野,埃安 纯电动,6.876
高精地图,埃安 纯电动,6.54
热成型钢强度,埃安 纯电动,6.772
碰撞解锁,埃安 纯电动,6.683
碰撞前车身姿态调整,埃安 纯电动,6.289
空调风量,埃安 纯电动,6.864
灯光,埃安 纯电动,7.179
抬头显示,埃安 纯电动,6.111
夜视系统,埃安 纯电动,5.963
车内夜间效果,埃安 纯电动,6.31
儿童误触碰,埃安 纯电动,6.352
车漆质感,埃安 纯电动,6.532
涉水深度,埃安 纯电动,6.319
夜间行人监测,埃安 纯电动,6.016
内饰异响,埃安 纯电动,5.89
SOS紧急呼叫,埃安 纯电动,6.639
轮胎附着力,埃安 纯电动,6.595
坐垫柔软程度,埃安 纯电动,6.984
内饰接缝与拼接,埃安 纯电动,6.607
隔振,埃安 纯电动,6.551
空调出风口设计,埃安 纯电动,6.809
CarPlay,埃安 纯电动,6.527
自动空调,埃安 纯电动,7.086
车载KTV,埃安 纯电动,5.846
悬架形式,埃安 纯电动,6.558
高清大屏,埃安 纯电动,7.187
空调风感,埃安 纯电动,6.729
毫米波雷达,埃安 纯电动,6.307
方向盘功能,埃安 纯电动,6.767
空调噪音,埃安 纯电动,6.413
记忆泊车,埃安 纯电动,5.987
哨兵模式,埃安 纯电动,6.114
手势控制,埃安 纯电动,5.796
方向盘虚位,埃安 纯电动,6.383
侧面外观,埃安 纯电动,7.199
激光雷达,埃安 纯电动,5.876
0%SOC～100%SOC,埃安 纯电动,6.469
座椅头枕,埃安 纯电动,6.829
馈电状态短时最高车速,埃安 纯电动,6.376
车载游戏,埃安 纯电动,5.846
座椅腰部支撑,埃安 纯电动,6.786
360影像,埃安 纯电动,6.734
座椅周边储物空间,埃安 纯电动,6.505
转弯半径,埃安 纯电动,6.488
轴距,埃安 纯电动,7.277
方向盘加热,埃安 纯电动,5.959
NOA,埃安 纯电动,6.091
无图自动驾驶,埃安 纯电动,5.853
负离子发生器,埃安 纯电动,6.374
座椅折叠后空间,埃安 纯电动,7.063
双层玻璃,埃安 纯电动,6.372
OTA,埃安 纯电动,6.666
车门板储物空间,埃安 纯电动,6.683
座椅打孔,埃安 纯电动,6.368
冬季高速纯电续航,埃安 纯电动,5.971
手部放置空间,埃安 纯电动,6.822
座椅腿托,埃安 纯电动,6.139
仪表盘,埃安 纯电动,6.661
馈电状态可持续最高车速,埃安 纯电动,6.388
香氛,埃安 纯电动,5.964
满电状态短时最高车速,埃安 纯电动,6.878
保值率,埃安 纯电动,6.069
前备箱空间,埃安 纯电动,5.942
车顶线条,埃安 纯电动,6.725
座椅联动,埃安 纯电动,6.012
三排进出便利性,埃安 纯电动,6.346
维修便利性,埃安 纯电动,6.399
无线充电,埃安 纯电动,6.042
扶手箱空间,埃安 纯电动,6.733
夏季高速纯电续航,埃安 纯电动,6.566
满电状态可持续最高车速,埃安 纯电动,6.868
空调分区,埃安 纯电动,6.867
后轮转向,埃安 纯电动,5.764
车窗外观,埃安 纯电动,6.474
主动降噪,埃安 纯电动,6.311
轮毂外观,埃安 纯电动,6.644
灭菌,埃安 纯电动,6.217
滤芯更换提醒,埃安 纯电动,6.234
中控面板功能,埃安 纯电动,6.896
质保时间,埃安 纯电动,6.737
手套箱空间,埃安 纯电动,6.451
保养周期,埃安 纯电动,6.598
靠背加热,埃安 纯电动,6.331
主驾操作区功能,埃安 纯电动,6.815
车门大小,埃安 纯电动,6.569
靠背通风,埃安 纯电动,6.135
充电接口,埃安 纯电动,6.393
座椅头枕音箱,埃安 纯电动,5.799
车门开度,埃安 纯电动,6.593
离地间隙,埃安 纯电动,6.37
接近角,埃安 纯电动,6.262
离去角,埃安 纯电动,6.262
转向回正力,埃安 纯电动,6.503
开关门质感,埃安 纯电动,6.458
可变转向比,埃安 纯电动,6.063
悬架高度,埃安 纯电动,6.242
小桌板,埃安 纯电动,5.8
自动驻车,埃安 纯电动,6.748
天窗,埃安 纯电动,6.664
制动热衰退,埃安 纯电动,6.472
方向盘周边储物空间,埃安 纯电动,6.219
儿童座椅适配,埃安 纯电动,6.234
遮阳帘功能,埃安 纯电动,6.048
后视镜视野,埃安 纯电动,6.705
零重力座椅,埃安 纯电动,5.97
副驾交互区功能,埃安 纯电动,6.207
大床模式空间,埃安 纯电动,6.172
转向座椅肋部支撑,埃安 纯电动,5.834
座椅老板键,埃安 纯电动,5.812
齿轮啸叫,埃安 纯电动,6.043
麋鹿测试,埃安 纯电动,6.534
车顶扶手,埃安 纯电动,5.819
前方视野,埃安 纯电动,6.965
电吸门便利性,埃安 纯电动,5.943
易损件寿命,埃安 纯电动,6.415
敲齿,埃安 纯电动,6.032
吭音,埃安 纯电动,6.027
门把手便利性,埃安 纯电动,6.454
冷暖冰箱,埃安 纯电动,5.793
脚部放置空间,埃安 纯电动,7.224
女王座椅,埃安 纯电动,5.81
爬陡坡性能,埃安 纯电动,6.766
三把锁,埃安 纯电动,5.744
制动辅助ABS/ESP/EPB,埃安 纯电动,6.983
高热工况性能,埃安 纯电动,6.594
高寒工况性能,埃安 纯电动,6.434
侧面视野,埃安 纯电动,6.825
隐私玻璃,埃安 纯电动,6.393
防晒车顶玻璃,埃安 纯电动,6.253
满/超载工况性能,埃安 纯电动,6.611
遮阳帘视野,埃安 纯电动,6.136
雨刮器视野,埃安 纯电动,6.364
门板功能,埃安 纯电动,6.219
高海拔工况性能,埃安 纯电动,6.446
过道宽度,埃安 纯电动,6.718
实用小配置,埃安 纯电动,6.615
制动点头,埃安 纯电动,6.298
除雾功能,埃安 纯电动,6.674
除霜功能,埃安 纯电动,6.68
遮阳板,埃安 纯电动,6.367
爬长坡性能,埃安 纯电动,6.745
立柱扶手,埃安 纯电动,5.822
减速玻璃,埃安 纯电动,6.43
轮胎外观,埃安 纯电动,6.217
松油门阻止感,埃安 纯电动,6.307
二三排控制区功能,埃安 纯电动,6.092
空气弹簧,埃安 纯电动,5.844
个性化元素,埃安 纯电动,6.784
主动阻尼悬挂,埃安 纯电动,5.853
陡坡缓降,埃安 纯电动,6.31
后视镜外观,埃安 纯电动,6.303
接缝大小及均匀性,埃安 纯电动,6.402
门把手外观,埃安 纯电动,6.4
卡钳外观,埃安 纯电动,6.057
雨刮器外观,埃安 纯电动,5.813
性价比,小鹏汽车 纯电动,7.775
外观风格,小鹏汽车 纯电动,7.93
内饰风格,小鹏汽车 纯电动,7.382
零百加速,小鹏汽车 纯电动,7.6
腿部空间,小鹏汽车 纯电动,7.311
后备箱及周边空间,小鹏汽车 纯电动,7.126
动力模式切换平顺性,小鹏汽车 纯电动,7.288
头部空间,小鹏汽车 纯电动,7.247
日常实际使用电耗,小鹏汽车 纯电动,6.957
悬架滤振,小鹏汽车 纯电动,6.871
油门响应,小鹏汽车 纯电动,7.508
座椅材质,小鹏汽车 纯电动,7.305
转向精准度,小鹏汽车 纯电动,7.359
内饰材料及环保,小鹏汽车 纯电动,7.027
加速平顺性,小鹏汽车 纯电动,7.645
前脸外观,小鹏汽车 纯电动,7.867
隔音,小鹏汽车 纯电动,6.944
车尾外观,小鹏汽车 纯电动,7.296
车机系统可靠性,小鹏汽车 纯电动,7.355
车内布局,小鹏汽车 纯电动,7.143
色彩搭配,小鹏汽车 纯电动,7.167
中控屏功能,小鹏汽车 纯电动,7.785
方向盘轻重调节,小鹏汽车 纯电动,7.149
整车色彩,小鹏汽车 纯电动,7.127
高速再加速性能,小鹏汽车 纯电动,7.421
电耗WLTC,小鹏汽车 纯电动,6.841
语音控制,小鹏汽车 纯电动,7.776
换挡平顺性,小鹏汽车 纯电动,7.245
车身比例,小鹏汽车 纯电动,7.245
风噪,小鹏汽车 纯电动,6.52
最长续航里程,小鹏汽车 纯电动,7.42
智能交互,小鹏汽车 纯电动,7.982
质感、做工,小鹏汽车 纯电动,7.146
动力系统可靠／耐久,小鹏汽车 纯电动,7.052
空调制冷速度,小鹏汽车 纯电动,7.31
NVH异响,小鹏汽车 纯电动,6.416
座椅宽度,小鹏汽车 纯电动,7.151
电耗CLTC,小鹏汽车 纯电动,6.849
路噪,小鹏汽车 纯电动,6.534
异味,小鹏汽车 纯电动,6.046
储物,小鹏汽车 纯电动,6.793
车机屏幕分辨率,小鹏汽车 纯电动,7.628
辅助驾驶车道保持,小鹏汽车 纯电动,7.537
自适应巡航,小鹏汽车 纯电动,7.531
空调制热速度,小鹏汽车 纯电动,7.199
座椅加热,小鹏汽车 纯电动,7.185
响应速度,小鹏汽车 纯电动,7.598
座椅调节便利性,小鹏汽车 纯电动,7.227
坐垫厚度,小鹏汽车 纯电动,7.167
自动泊车,小鹏汽车 纯电动,7.534
氛围灯,小鹏汽车 纯电动,6.831
发动机噪音,小鹏汽车 纯电动,6.447
自动紧急制动,小鹏汽车 纯电动,7.319
座椅通风,小鹏汽车 纯电动,6.896
空调与通风,小鹏汽车 纯电动,7.185
桌面APP,小鹏汽车 纯电动,7.263
气囊,小鹏汽车 纯电动,7.254
安全带,小鹏汽车 纯电动,7.248
底盘系统可靠／耐久,小鹏汽车 纯电动,7.006
车身系统可靠／耐久,小鹏汽车 纯电动,7.063
车道偏离预警,小鹏汽车 纯电动,7.301
制动距离,小鹏汽车 纯电动,7.137
前碰撞预警,小鹏汽车 纯电动,7.297
厂家口碑,小鹏汽车 纯电动,7.21
车身刚度,小鹏汽车 纯电动,7.275
事故车门自动解锁,小鹏汽车 纯电动,7.199
屏幕尺寸,小鹏汽车 纯电动,7.601
桌面布局,小鹏汽车 纯电动,7.272
交互便利性,小鹏汽车 纯电动,7.675
远程启动／关闭空调,小鹏汽车 纯电动,7.274
事故车窗自动下降,小鹏汽车 纯电动,7.096
盲区检测,小鹏汽车 纯电动,7.257
气帘,小鹏汽车 纯电动,7.247
儿童安全锁,小鹏汽车 纯电动,7.063
事故自动下电,小鹏汽车 纯电动,7.195
电池回收,小鹏汽车 纯电动,6.968
冬季城市纯电续航,小鹏汽车 纯电动,6.449
远程解锁／上锁,小鹏汽车 纯电动,7.256
排放,小鹏汽车 纯电动,7.475
PM2.5过滤,小鹏汽车 纯电动,7.337
耐腐蚀性,小鹏汽车 纯电动,6.945
应急照明,小鹏汽车 纯电动,7.061
车门防夹,小鹏汽车 纯电动,7.177
碳足迹,小鹏汽车 纯电动,7.057
过弯侧倾抑制,小鹏汽车 纯电动,6.988
座椅臀部支撑程度,小鹏汽车 纯电动,7.165
远程车辆状态查看,小鹏汽车 纯电动,7.191
座椅靠背角度调节,小鹏汽车 纯电动,7.22
传感器可靠性,小鹏汽车 纯电动,7.124
车机芯片算力,小鹏汽车 纯电动,7.588
座椅调整防夹,小鹏汽车 纯电动,7.085
三脚架,小鹏汽车 纯电动,6.777
耐热,小鹏汽车 纯电动,6.891
耐寒,小鹏汽车 纯电动,6.845
远程开启／关闭车窗,小鹏汽车 纯电动,7.099
30%SOC～80%SOC,小鹏汽车 纯电动,7.502
夏季城市纯电续航,小鹏汽车 纯电动,7.116
车辆追踪／报警,小鹏汽车 纯电动,7.054
安全带主动预紧,小鹏汽车 纯电动,7.214
超充兼容性,小鹏汽车 纯电动,7.403
防尘,小鹏汽车 纯电动,6.885
无钥匙进入／启动,小鹏汽车 纯电动,7.36
仅限用物质,小鹏汽车 纯电动,6.981
主动安全车道保持,小鹏汽车 纯电动,7.331
防水,小鹏汽车 纯电动,6.887
一键寻车,小鹏汽车 纯电动,7.071
防晒,小鹏汽车 纯电动,6.886
音响声音分区,小鹏汽车 纯电动,6.969
正碰时车身强度,小鹏汽车 纯电动,7.272
侧碰时车身强度,小鹏汽车 纯电动,7.272
追尾时车身强度,小鹏汽车 纯电动,7.255
偏置碰时车身强度,小鹏汽车 纯电动,7.269
车机屏幕数量,小鹏汽车 纯电动,7.184
座椅位置调节,小鹏汽车 纯电动,7.243
车距调节,小鹏汽车 纯电动,7.286
并线辅助,小鹏汽车 纯电动,7.171
座椅靠背厚度,小鹏汽车 纯电动,7.129
悬架软硬度,小鹏汽车 纯电动,6.814
电耗NEDC,小鹏汽车 纯电动,6.829
开门预警,小鹏汽车 纯电动,7.158
自动落锁,小鹏汽车 纯电动,7.181
摄像头,小鹏汽车 纯电动,7.326
座椅按摩,小鹏汽车 纯电动,6.301
碰撞后自动拨打120,小鹏汽车 纯电动,7.12
车内视野,小鹏汽车 纯电动,6.992
高精地图,小鹏汽车 纯电动,7.277
热成型钢强度,小鹏汽车 纯电动,7.27
碰撞解锁,小鹏汽车 纯电动,7.181
碰撞前车身姿态调整,小鹏汽车 纯电动,6.694
空调风量,小鹏汽车 纯电动,7.226
灯光,小鹏汽车 纯电动,7.506
抬头显示,小鹏汽车 纯电动,6.533
夜视系统,小鹏汽车 纯电动,6.373
车内夜间效果,小鹏汽车 纯电动,6.841
儿童误触碰,小鹏汽车 纯电动,6.748
车漆质感,小鹏汽车 纯电动,6.964
涉水深度,小鹏汽车 纯电动,6.553
夜间行人监测,小鹏汽车 纯电动,6.481
内饰异响,小鹏汽车 纯电动,6.044
SOS紧急呼叫,小鹏汽车 纯电动,7.159
轮胎附着力,小鹏汽车 纯电动,6.983
坐垫柔软程度,小鹏汽车 纯电动,7.172
内饰接缝与拼接,小鹏汽车 纯电动,6.972
隔振,小鹏汽车 纯电动,6.969
空调出风口设计,小鹏汽车 纯电动,7.122
CarPlay,小鹏汽车 纯电动,7.105
自动空调,小鹏汽车 纯电动,7.429
车载KTV,小鹏汽车 纯电动,6.18
悬架形式,小鹏汽车 纯电动,6.959
高清大屏,小鹏汽车 纯电动,7.859
空调风感,小鹏汽车 纯电动,7.058
毫米波雷达,小鹏汽车 纯电动,6.926
方向盘功能,小鹏汽车 纯电动,7.14
空调噪音,小鹏汽车 纯电动,6.708
记忆泊车,小鹏汽车 纯电动,6.752
哨兵模式,小鹏汽车 纯电动,6.672
手势控制,小鹏汽车 纯电动,6.084
方向盘虚位,小鹏汽车 纯电动,6.669
侧面外观,小鹏汽车 纯电动,7.612
激光雷达,小鹏汽车 纯电动,6.456
0%SOC～100%SOC,小鹏汽车 纯电动,7.026
座椅头枕,小鹏汽车 纯电动,7.051
馈电状态短时最高车速,小鹏汽车 纯电动,6.789
车载游戏,小鹏汽车 纯电动,6.164
座椅腰部支撑,小鹏汽车 纯电动,6.981
